scenario,profile,duration_ms,guard_duration_ms,exit_code
clean-server,smoke,638.493,80,0
clean-server,registry,411.858,155,0
clean-server,ci,334.351,74,0
clean-server,strict,730.43,481,0
startup-stdout-pollution-server,smoke,325.417,74,1
startup-stdout-pollution-server,registry,382.717,149,1
startup-stdout-pollution-server,ci,311.371,72,1
startup-stdout-pollution-server,strict,724.028,479,1
stderr-diagnostics-server,smoke,317.624,74,0
stderr-diagnostics-server,registry,394.478,151,0
stderr-diagnostics-server,ci,330.517,73,0
stderr-diagnostics-server,strict,740.971,483,0
late-stdout-pollution-server,smoke,342.935,74,1
late-stdout-pollution-server,registry,474.965,150,1
late-stdout-pollution-server,ci,354.84,73,1
late-stdout-pollution-server,strict,275.219,43,1
malformed-json-server,smoke,1849.256,1525,1
malformed-json-server,registry,3367.27,3080,1
malformed-json-server,ci,1872.894,1526,1
malformed-json-server,strict,3334.178,3074,1
content-length-framing-server,smoke,371.998,23,1
content-length-framing-server,registry,262.641,40,1
content-length-framing-server,ci,302.566,22,1
content-length-framing-server,strict,266.073,40,1
missing-initialize-response-server,smoke,1747.038,1504,1
missing-initialize-response-server,registry,3276.875,3014,1
missing-initialize-response-server,ci,1777.865,1504,1
missing-initialize-response-server,strict,3304.44,3014,1
wrong-response-id-server,smoke,430.238,28,1
wrong-response-id-server,registry,277.433,42,1
wrong-response-id-server,ci,295.709,23,1
wrong-response-id-server,strict,277.93,42,1
crash-after-initialize-server,smoke,391.051,33,1
crash-after-initialize-server,registry,421.939,59,1
crash-after-initialize-server,ci,301.687,29,1
crash-after-initialize-server,strict,355.254,57,1
duplicate-tool-name-server,smoke,398.685,74,1
duplicate-tool-name-server,registry,387.305,145,1
duplicate-tool-name-server,ci,314.781,74,1
duplicate-tool-name-server,strict,746.978,469,1
invalid-tool-schema-server,smoke,348.176,77,1
invalid-tool-schema-server,registry,475.546,153,1
invalid-tool-schema-server,ci,314.465,73,1
invalid-tool-schema-server,strict,728.344,480,1
capability-drift-server,registry,424.212,153,0
capability-drift-server,strict,726.002,482,0
